Title,Artist,ReleaseDate,Info,MetaScore,UserScore,Cover
Saltwater,Brazos,"May 28, 2013",Martin Crane expands his Brazos music project with the addition of drummer Ian Chang and bassist Spencer Zahn on his second full-length release.,77,6.6,"https://static.metacritic.com/images/products/music/7/8247a5843c597299180f33d029308aac-98.jpg"" alt="
"Some Racing, Some Stopping",Headlights,"February 19, 2008","The sophomore full-length album for the indie rock trio from Champaign, Illinois.",77,8.0,https://static.metacritic.com/images/products/music/2/1272ea7d2cfd7b9e6fe3bb1d6c0c1c1a-98.jpg
In The Reins [EP],Iron & Wine + Calexico,"September 13, 2005",This mini-album finds seven new originals written and sung by Sam Beam (Iron & Wine) with Calexico's Joey Burns and John Convertino performing as his backing band.,77,8.7,https://static.metacritic.com/images/products/music/1/fb5842e0631aba47630b8628e19936ef-98.jpg
Bigger Than Life,Black Marble,"October 25, 2019",The third full-length release for the Chris Stewart music project was self-recorded and produced.,77,8.1,https://static.metacritic.com/images/products/music/0/8c77281be8ade85fecb4ae6ff31c482d-98.jpg
Morning/Evening,Four Tet,"July 10, 2015","The two-track, 40-minutes album for Kieran Hebden as Four Tet was created using Ableton Live software.",77,7.7,https://static.metacritic.com/images/products/music/7/405e6162f1b6b18e2e8db45c1c976dd6-98.jpg
Death After Life,Thug Entrancer,"February 11, 2014",This is the debut full-length techno release for Chicago-based producer Ryan McRyhew.,77,8.3,https://static.metacritic.com/images/products/music/2/516e103c56e15ed163eeae209764af89-98.jpg
Young Modern,Silverchair,"July 24, 2007","The fifth album from the Australian band includes Luke Steele, Julian Hamilton, and Paul Mac as guests.",77,7.8,https://static.metacritic.com/images/products/music/3/a70e0070e2c75b0a481ef08f19d3ea9f-98.jpg
You Can't Imagine How Much Fun We're Having,Atmosphere,"October 4, 2005",The underground hip-hop duo of Slug and Ant return with a new two-disc set.,77,8.7,https://static.metacritic.com/images/products/music/7/f3ce771f8b24af74fa773877cfac312a-98.jpg
Street Punk,Hunx & His Punx,"July 23, 2013","Produced by Facundo Bermudez, Seth Bogart shares lead vocals with Shannon Shaw on the garage punk band's second full-length release.",77,7.8,https://static.metacritic.com/images/products/music/8/71d81921cd8410e06f34d5b7f1af738e-98.jpg
They Threw Us in a Trench and Stuck a Monument On Top,Liars,"August 20, 2002",This debut LP from the experimental punk outfit from Brooklyn known for their strong live sets features lengthy song titles and an even lengthier closing track (clocking in at over half an hour).,77,8.3,https://static.metacritic.com/images/products/music/9/7ad976e0a0ebc705fc7b2d7f58441fb5-98.jpg
Flat White Moon,Field Music,"April 23, 2021","The eighth full-length studio release for the British rock band led by brothers David Brewis and Peter Brewis was inspired in part by music from The Beatles, Free, Fleetwood Mac, and Led Zeppelin. ",77,7.2,https://static.metacritic.com/images/products/music/0/bbbff34eeef8567ce76f03655547937e-98.jpg
Tonic Immobility,Tomahawk,"March 26, 2021","The fifth full-length release for the Mike Patton-led band that includes  Duane Denison, John Stanier, and Trevor Dunn was co-produced with Paul Allen.",77,8.6,https://static.metacritic.com/images/products/music/5/8b87f8c4f9d3fd1a600dc714537c45cc-98.jpg
Abysmal Thoughts,The Drums,"June 16, 2017",The fourth full-length release for the Brooklyn indie pop band-turned-solo-project by Jonny Pierce who wrote and produced the album.,77,8.3,https://static.metacritic.com/images/products/music/1/1b9c9191215c641a80e612848275452d-98.jpg
Bestival Live 2011,The Cure,"December 6, 2011",The recording of The Cure's appearance at Britain's Bestival in September 2011 is the band's first live album since 1993.,77,8.2,https://static.metacritic.com/images/products/music/9/691c19fa3330a7ece800bea7d509e227-98.jpg
151A,Kishi Bashi,"November 30, 2011",This is the debut solo full-length album for violinist/producer K. Ishibashi.,77,8.4,https://static.metacritic.com/images/products/music/5/f1ea568eb5cd8a125ce53fa6a1c0eba3-98.jpg
Celestite,Wolves in the Throne Room,"July 8, 2014",The fifth full-length studio release for the black metal duo is a five-track companion album to 2011's Celestial Lineage.,77,8.3,https://static.metacritic.com/images/products/music/5/8df06438e1d24414f67d61fcbb70ab78-98.jpg
First Flower,Molly Burch,"October 5, 2018",The second full-length release for the Austin-based singer-songwriter was produced with Erik Wofford. ,77,8.4,https://static.metacritic.com/images/products/music/9/d34f04679c593fa931fcc14884fb30fe-98.jpg
Silver/Lead,Wire,"April 7, 2017",The 40th anniversary for British post-punk band brings its 15th studio release that was partly recorded in Wales.,77,8.3,https://static.metacritic.com/images/products/music/7/ac12368b0f1975a11de17fece24d428e-98.jpg
Jaakko Eino Kalevi,Jaakko Eino Kalevi,"June 16, 2015",The full-length debut for the Berlin-based electronic artist features guest appearances from Suad Khalifa and Sonja Immonen.,77,7.7,https://static.metacritic.com/images/products/music/4/2f9f86c8d0e53a272086676b14f7ac00-98.jpg
Taking Back Sunday,Taking Back Sunday,"June 28, 2011",The rock band from Long Island returns with a new album produced by Queens of the Stoneage's Eric Valentine and features the original lineup from its 2002 debut.,77,8.5,https://static.metacritic.com/images/products/music/8/bd300e5325d1caa91d03d289bd974fe8-98.jpg
The Big Roar,The Joy Formidable,"March 15, 2011",This is the debut full-length album on Atlantic for the Welsh trio and continues to be a cacophony of rock riffs and pop sensibility.,77,7.9,https://static.metacritic.com/images/products/music/2/50ff5440af00dc4b4d0ddbba9ec9fa0f-98.jpg
Pilot Talk,Curren$y,"July 13, 2010",Ski Beatz produced most of the New Orleans-born rapper's first solo album with Def Jam.,77,7.2,https://static.metacritic.com/images/products/music/6/cb9c64b50b90c2e233fa48a8c7d5d95b-98.jpg
Waxing Gibbous,Malcolm Middleton,"August 11, 2009",This is the fifth studio album for the ex-Arab Strap band member.,77,8.0,https://static.metacritic.com/images/products/music/6/29f3d1b948b8499463cc2b5f14d6d72c-98.jpg
Requiem,Korn,"February 4, 2022",The latest full-length release for nu metal band Korn was produced by Chris Collier.,77,8.4,https://static.metacritic.com/images/products/music/2/592f568755ba3157312d7c85abe113c2-98.jpg
Intruder,Gary Numan,"May 21, 2021",The 18th full-length solo release for the British electronic artist is said to be about climate change from the Earth's point of view.,77,7.2,https://static.metacritic.com/images/products/music/7/6f52329d2f08ad1ccdcd31c5e6b7dedc-98.jpg
In the End,The Cranberries,"April 26, 2019",The final release for Dolores O'Riordan (who passed away in January 2018) and the Irish rock band was produced by Stephen Street.,77,6.4,https://static.metacritic.com/images/products/music/4/ce679a3b4d9289e22c741fe2d941d9e9-98.jpg
Felder,Jan St. Werner,"April 1, 2016",The latest solo release for the Mouse on Mars artist is the fourth album in St. Werner's experimental Fiepblatter series.,77,8.7,https://static.metacritic.com/images/products/music/0/d44e7f1a166c01041114f74aeeb2cbfb-98.jpg
Fantastic Planet,Noveller,"January 27, 2015",This is the latest release for the solo project of Sarah Lipstate.,77,7.2,https://static.metacritic.com/images/products/music/9/5d867561b34854d3ed36417f45920b96-98.jpg
Legacy,RP Boo,"May 28, 2013",This is the debut full-length release from one of the pioneers of footwork.,77,6.8,https://static.metacritic.com/images/products/music/5/0e532b41ee9546b50eeea49e3772d584-98.jpg
Duppy Writer,Wrongtom,"September 21, 2010",British producer Wrongtom remixes a collection of Roots Manuva's tracks.,77,7.3,https://static.metacritic.com/images/products/music/1/c1d823e8261a19b61d071877b2ec9ffd-98.jpg
Natural,Mekons,"August 21, 2007",Check out the latest album from the British punk-rock band formed in 1977.,77,7.1,https://static.metacritic.com/images/products/music/2/e256bbd03b1ee21a34369ce3a966e02d-98.jpg
Shitty Hits,Katie von Schleicher,"July 28, 2017","The debut full-length release for the Brooklyn pop singer-songwriter was self-produced like her 2015 EP, Bleaksploitation.",77,7.9,https://static.metacritic.com/images/products/music/6/00e3a9596a2087f8ab24abbc38c11122-98.jpg
Growing Pains,Mary J. Blige,"December 18, 2007","The eighth album for the R&B singer was produced with help from The-Dream, Ne-Yo, Stargate, Dre & Vidal, and Timbaland.",77,8.7,https://static.metacritic.com/images/products/music/7/38ef70e5ae157ba47528889341949df0-98.jpg
Total Loss,How to Dress Well,"October 2, 2012",Tom Krell's second release as How to Dress Well shows more R&B influences.,77,6.5,https://static.metacritic.com/images/products/music/3/6c625013e8e0949194d9ee27a02c3522-98.jpg
Songs and Stories [Live],Guy Clark,"August 16, 2011",The country singer-songwriter releases a live acoustic album recorded at Nashville's Belcourt Theatre in 2009.,77,8.6,https://static.metacritic.com/images/products/music/2/2c70ec3cf08786a4057317fb6e37d098-98.jpg
We Have You Surrounded,The Dirtbombs,"February 26, 2008","The Dirtbombs fourth full-length album includes covers of songs by Alan Moore, Dead Moon, and Sparks.",77,7.4,https://static.metacritic.com/images/products/music/8/5b31597d7447b8f63a1e66a86aaf646d-98.jpg
Gliss Riffer,Dan Deacon,"February 24, 2015",The fourth full-length studio release for the Baltimore-based electronic artist was self-produced.,77,7.3,https://static.metacritic.com/images/products/music/1/4a298be31a374275c85e0d0353f8bbd8-98.jpg
Dirt Femme,Tove Lo,"October 14, 2022","The fifth full-length studio release for Swedish dance-pop artist Tove Lo features guest appearances from Channel Tres, First Aid Kit and SG Lewis.",77,7.7,https://static.metacritic.com/images/products/music/1/d1795d68e049251d0c7fe6d1ef004da5-98.jpg
Typhoons,Royal Blood,"April 30, 2021",The third full-length release for the British rock duo was self-produced except for two tracks with production from Paul Epworth.,77,8.7,https://static.metacritic.com/images/products/music/6/917a798571dbcd8b8ef4b61181dade47-98.jpg
Fudge Sandwich,Ty Segall,"October 26, 2018","The covers album from the garage rock artist features songs by The Dils, Amon Düül II, Funkadelic, Gong, Grateful Dead, John Lennon, Rudimentary Peni, Sparks, Spencer Davis Group, War, and Neil Young.",77,8.4,https://static.metacritic.com/images/products/music/6/a351ae1280418f9f1a3653d50e50dfdf-98.jpg
Strychnine Dandelions,The Parting Gifts,"November 9, 2010","The debut album featuring Reigning Sound's Greg Cartwright and The Ettes' Coco Hames includes appearances by Dan Auerbach, Patrick Keeler, and fellow band members Jem Cohen, Poni Silver, and Dave Amels.",77,7.7,https://static.metacritic.com/images/products/music/1/e429a5d00cde811dd8496840056899bd-98.jpg
A Brighter Beat,Malcolm Middleton,"February 26, 2007",This is the first solo release for the Scottish artist since the breakup of his band Arab Strap.,77,8.0,https://static.metacritic.com/images/products/music/2/13418d5f79aca95e025e9225cb753621-98.jpg
We All Raise Our Voices to the Air: Live Songs 04.11.08,The Decemberists,"March 13, 2012","The two-disc live album collects 20 live songs from the band's tour for its 2011 album, The King Is Dead.",77,8.2,https://static.metacritic.com/images/products/music/8/56392c527904c27c4c340d88cbdfcb9d-98.jpg
22 Dreams,Paul Weller,"July 22, 2008","The ninth album for Paul Weller features Blur's Graham Coxon, Little Barrie, Oasis' Noel Gallagher and Gem Archer, Ocean Colour Scene's Steve Cradock, and Stone Roses' Aziz Ibrahim.",77,6.7,https://static.metacritic.com/images/products/music/0/806926c234f3d48f00f3c5aeed0b62cd-98.jpg
SUGAREGG,Bully,"August 21, 2020",The third full-length release for Alicia Bognanno's rock project was produced by John Congleton.,77,8.7,https://static.metacritic.com/images/products/music/1/3875288075a0b3c02f65c53634ef2452-98.jpg
The Bob's Burgers Music Album [Original Television Soundtrack],Original Soundtrack,"May 12, 2017","The soundtrack to the Fox animated comedy features songs from the first 107 episodes as well as five exclusive cover songs performed by  Lapsley, The National, St. Vincent, and Stephin Merritt of Magnetic Fields.",77,8.3,https://static.metacritic.com/images/products/music/3/786c930969f15780ac51e3f083848de3-98.jpg
Ambulance,The Amazing,"July 22, 2016",The fourth full-length release for the Swedish indie rock band was live recorded over a few days.,77,7.8,https://static.metacritic.com/images/products/music/1/78582b9087a44c40a1ef16d8e2e44bb1-98.jpg
Serpents Unleashed,Skeletonwitch,"October 29, 2013",The fifth full-length release for the Ohio trash metal band was produced by Kurt Ballou.,77,8.1,https://static.metacritic.com/images/products/music/4/8c635439441d76d7f3f7c671262d8468-98.jpg
Through the Window,Prurient,"March 19, 2013",This is the experimental techno three-track release from Cold Cave member Dominick Fernow.,77,7.9,https://static.metacritic.com/images/products/music/2/b83b21c688c2f0358b13f381082482f8-98.jpg
Olympic Girls,Tiny Ruins,"February 1, 2019",The third full-length release for the New Zealand folk band was produced by Tom Healy. ,77,8.4,https://static.metacritic.com/images/products/music/8/efbdb5ce3d7a8374858c1eb61e6d1421-98.jpg
Goodnight Oslo,Robyn Hitchcock,"February 17, 2009","The second album Robyn Hitchcock has recorded with The Venus 3 (Peter Buck, Scott McCaughey, & Bill Rieflin) features a track used in the film Rachel Getting Married.",77,7.8,https://static.metacritic.com/images/products/music/4/d43ed27bb0d98fa6a5c01031821257f2-98.jpg
Little Amber Bottles,Blanche,"October 23, 2007","The Detroit-based group and backing band on Loretta Lynn's ""Van Lear Rose"" release their sophomore album.",77,8.6,https://static.metacritic.com/images/products/music/0/e69c231da0cb7d560f6d8da91afcc757-98.jpg
The Route To The Harmonium,James Yorkston,"February 22, 2019",The latest full-length solo release for the Scottish singer-songwriter was recorded in his Scottish home and was produced with David Wrench.,77,8.2,https://static.metacritic.com/images/products/music/3/78b43ebfe083e820fce11c6848f7845d-98.jpg
Notes of Blue,Son Volt,"February 17, 2017",The eighth full-length studio release for the alt-country band led by Jay Farrar was inspired by blues music.,77,7.6,https://static.metacritic.com/images/products/music/9/214f9df7093635c7b047d0c213301fe1-98.jpg
Highway Hypnosis,Sneaks,"January 25, 2019","The third release for Eva Moolchan as Sneaks was produced by Carlos Hernandez and Tony Seltzer (as well as Jacknife Lee on ""Hong Kong to Amsterdam"").",77,6.6,https://static.metacritic.com/images/products/music/3/8d1307c499b9ee1e6da40105e4fbf044-98.jpg
Resolve,Poppy Ackroyd,"February 2, 2018",The latest solo release for the British artist who is also a member of Hidden Orchestra was self-produced.,77,8.5,https://static.metacritic.com/images/products/music/7/df750b463810315e7e4ad0839b91474e-98.jpg
Antisocialites,Alvvays,"September 8, 2017",The second full-length release for the Toronto-based indie-pop band led by Molly Rankin was produced by Alec O'Hanley and John Congleton.,77,8.6,https://static.metacritic.com/images/products/music/7/8d5683ac0de64ee03809b1beba910cf0-98.jpg
Golden Eagle,Holly Macve,"March 3, 2017",The debut full-length release for the Irish-born country artist was produced by Paul Gregory of Lanterns On The Lake.,77,7.3,https://static.metacritic.com/images/products/music/1/434a01c98abca6e1d31a2e2364a9e153-98.jpg
Apache,Aaron Neville,"July 15, 2016",The latest solo release for the multiple Grammy award-winner was produced by Eric Krasno.,77,8.4,https://static.metacritic.com/images/products/music/6/9fa09c88a41b62ca653636b18a42d328-98.jpg
I Forget Where We Were,Ben Howard,"October 21, 2014",The follow-up to the British singer-songwriter's Mercury Prize-nominated debut was produced by Chris Bond.,77,8.4,https://static.metacritic.com/images/products/music/1/2065eecf12c26e2a6c263f9dba9d58fb-98.jpg
Unravelling,We Were Promised Jetpacks,"October 14, 2014",The third full-length studio release for the Scottish indie rock band was produced by Paul Savage.,77,8.7,https://static.metacritic.com/images/products/music/1/6f177105ad7f41ce1fb3bca17a49c747-98.jpg
El Pintor,Interpol,"September 9, 2014","Self-produced, the first release in four years for the New York rock band is also its first without bassist Carlos Dengler and features contributions from Secret Machines' Brandon Curtis, Jellyfish's Roger Joseph Manning, Jr., and Bon Iver's Rob Moose.",77,8.0,https://static.metacritic.com/images/products/music/1/695daded6e75ef8d55829f2e18e15cbe-98.jpg
Impressions,Music Go Music,"August 19, 2014","The second full-length release for the Los Angeles pop trio comes five years after their 2009 debut, Expressions.",77,7.6,https://static.metacritic.com/images/products/music/8/bbf29398433a58715e02a52de8d501ff-98.jpg
The Reckoning,Ethan Johns,"June 3, 2014",The second full-length release for the British producer/singer-songwriter was produced by Ryan Adams.,77,7.0,https://static.metacritic.com/images/products/music/3/5ebf0b6fd662c7948d9c8fb3d449e037-98.jpg
Wild Crush,Archie Bronson Outfit,"May 19, 2014",The fourth full-length release for the British band sees the addition of Kristian Robinson and the return of Duke Garwood.,77,8.4,https://static.metacritic.com/images/products/music/8/c207b9cbf4d50e0c49eaf60fd0462817-98.jpg
Motion: Connected Works,Koen Holtkamp,"March 25, 2014",The fourth full-length solo studio release for Mountains' Koen Holtkamp includes a disc of music that were first released on vinyl.,77,8.4,https://static.metacritic.com/images/products/music/5/82f4146896158d7ece3585a714ddd2f8-98.jpg
Invasion of Love,Out Cold,"September 2, 2013",The debut solo project for Cherry Ghost frontman Simon Aldred was produced by Ash Workman.,77,8.7,https://static.metacritic.com/images/products/music/0/24d0af3aca92dde3d0c891bcac1e57f8-98.jpg
Pearl Mystic,Hookworms,"April 2, 2013",The debut full-length release for the British indie rock quintet includes influences from psychedelic and krautrock.,77,7.9,https://static.metacritic.com/images/products/music/5/3db9ea2edd54bd9311ceeb74f749e9ec-98.jpg
Pleasure Pressure Point,Black Affair,"July 28, 2008",Ex-Beta Band-er Steve Mason's latest group releases its debut full-length.,77,7.8,https://static.metacritic.com/images/products/music/2/4983982487f73be4d991b4f8a458bef2-98.jpg
Jinx,Weekend,"July 23, 2013",The second full-length release for the Brooklyn-based post-punk trio was produced by Monte Vallier.,77,7.5,https://static.metacritic.com/images/products/music/9/cfb32aeb10a1c41e3f8d44aaba56c3e6-98.jpg
Dream Wife,Dream Wife,"January 26, 2018","This is the debut full-length release for the London based indie-pop trio of Rakel Mjöll, Alice Go, and Bella Podpadec.",77,7.0,https://static.metacritic.com/images/products/music/1/2367b573bc9f93a60aea9b387164bcc8-98.jpg
Rose Mountain,Screaming Females,"February 24, 2015",The sixth full-length release for the New Jersey rock trio was produced by Matt Bayles.,77,8.1,https://static.metacritic.com/images/products/music/1/81aaa189e9923820b35b459268a48871-98.jpg
Nothing,Kode9,"November 6, 2015","With the death of Daddi Gee, who worked under the name the Spaceape, dubstep producer Steve Goodman goes solo with this release, which does feature Spaceape’s vocals on one track.",77,8.6,https://static.metacritic.com/images/products/music/4/af827127cd4238adf59a5ef108043791-98.jpg
What Went Down,Foals,"August 28, 2015",The fourth full-length release for the British indie rock band was recorded in France with producer James Ford.,77,7.1,https://static.metacritic.com/images/products/music/9/a4a96f5ad7edc21fa43fbee0db158427-98.jpg
Don't Tell the Driver,Mick Turner,"November 19, 2013","The fourth solo release for the Dirty Three guitarist features guest appearances from  Peggy Frew, Caroline Kennedy-McCracken, Oliver Mann, Kishore Ryan, Ian Wadley, and Jeff Wegener.",77,8.1,https://static.metacritic.com/images/products/music/0/38060e1d3bca263a7a71f798616d64d2-98.jpg
Bodied,Ital Tek,"September 7, 2018","The sixth full-length release for British electronic producer Alan Myson is said to have a ""much greater focus into the sound design and palette.""",77,7.8,https://static.metacritic.com/images/products/music/3/e0f362ce43d6fcb6beebb4e512d745bd-98.jpg
Wooden Aquarium,Mazes,"September 8, 2014",The third full-length release for the British rock band was recorded live with producer Jonathan Schenke.,77,8.2,https://static.metacritic.com/images/products/music/2/58a59784b15355b00572ecf44195295e-98.jpg
Honey Locust Honky Tonk,Robert Pollard,"July 9, 2013",The 17-track album from the prolific singer-songwriter is his 19th solo release.,77,7.8,https://static.metacritic.com/images/products/music/3/9d5ca0d162620c70069672c372ed3ebb-98.jpg
More Light,Primal Scream,"June 18, 2013","The tenth studio release for the Scottish rock band was produced by David Holmes and features guest appearances by Robert Plant, My Bloody Valentine's Kevin Shields, and Mark Stewart.",77,8.6,https://static.metacritic.com/images/products/music/6/48ae4a0bbc19d39fed7cf729df353b87-98.jpg
Frantic,Bryan Ferry,"May 21, 2002","Fresh off the Roxy Music reunion tour, Bryan Ferry resumes his solo career with this 13-track effort, a mix of Ferry originals and covers (including two Dylan tracks). Ferry has actually been working on this album for parts of the last eight (!) years, and it includes contributions from former Roxy Music partner/nemesis Brian Eno, the Eurythmics' Dave Stewart, and Radiohead's Johnny Greenwood.",77,7.5,https://static.metacritic.com/images/products/music/9/450b43ff67330dcbc933eeff5cd28e92-98.jpg
Go Tell Fire To The Mountain,Wu Lyf,"September 6, 2011","The British rock band self-produced its debut full-length album, which was recorded in an unused church.",77,8.4,https://static.metacritic.com/images/products/music/9/ef3b2a718d3040ff7a24188bb3605e19-98.jpg
Human The Death Dance,Sage Francis,"May 8, 2007","The underground rapper/poet returns with his second album for Epitaph, joined by guests Buck 65, Jolie Holland and Mark Isham.",77,6.2,https://static.metacritic.com/images/products/music/7/075d2f88ad360c8ae48c4f0c96e955b7-98.jpg
Canta Lechuza,Helado Negro,"May 9, 2011",Roberto Carlos Lange's second solo electronic album was written while he was staying at an isolated cabin in Connecticut.,77,7.5,https://static.metacritic.com/images/products/music/6/e7e603ca202061e5bfcd75ca2f510188-98.jpg
White Crosses,Against Me!,"June 8, 2010","Though known for always being on the road, Against Me! has finally released its second major label album, which continues to blend elements of its trademark punk and folk rock with fist-pumping anthems celebrating teenage anarchy and encouraging all to fight the good fight.",77,8.3,https://static.metacritic.com/images/products/music/9/deda67dea517870dec2892ea4873b391-98.jpg
Guns Don't Kill People...Lazers Do,Major Lazer,"June 16, 2009",Switch and Diplo team up to release their first album as Major Lazer.,77,8.2,https://static.metacritic.com/images/products/music/5/e0d741e2ee7316c260402a1e871fdad4-98.jpg
Happiness In Magazines,Graham Coxon,"January 25, 2005",Stephen Street produces the former Blur guitarist's fifth solo disc.,77,8.7,https://static.metacritic.com/images/products/music/9/cc184fbffd4ad1e932b3f95f17c3733a-98.jpg
How to Let Go,Sigrid,"May 6, 2022",The second full-length release for the Norwegian pop singer-songwriter Sigrid  features a guest appearance from Bring Me The Horizon.,77,8.6,https://static.metacritic.com/images/products/music/9/e35dedb0f112e3b098932bd7dc2d99ac-98.jpg
Brighter Wounds,Son Lux,"February 9, 2018",The fifth full-length release for Ryan Lott's solo-project-turned-trio that now includes Rafiq Bhatia and Ian Chang is its first on the City Slang label.,77,8.5,https://static.metacritic.com/images/products/music/6/7ac00aabb3df904be346ef7c52578c2c-98.jpg
Water on Mars,Purling Hiss,"March 19, 2013",The fourth full-length release for the Philadelphia indie rock trio led by Mike Polizze is its first recorded in a professional studio.,77,8.0,https://static.metacritic.com/images/products/music/2/230cdeed99428895c8c406f2812294a5-98.jpg
Serotonin,Mystery Jets,"July 13, 2010",,77,7.9,https://static.metacritic.com/images/products/music/9/bad105692321921ef598a47acbf43e47-98.jpg
The Chaos,The Futureheads,"June 1, 2010","Taking the best of post-punk, new wave, and pop as inspiration, Sunderland's Futureheads were among the best of the U.K.'s ""angular"" movement. Their capability of delivering their trademark pop thrills on this album sustains their position as Sunderland's sharpest export.",77,7.6,https://static.metacritic.com/images/products/music/9/adc3c812137d9c3c327280c3e7324cd1-98.jpg
Saint Bartlett,Damien Jurado,"May 25, 2010",The latest album for the singer-songwriter was produced by Richard Swift and recorded in just under week.,77,7.9,https://static.metacritic.com/images/products/music/7/e550d734f70c935e129ebc0a5e6412fe-98.jpg
The '59 Sound,The Gaslight Anthem,"August 19, 2008",The sophomore album for the New Jersey punk-rock band was produced by Ted Hutt.,77,7.7,https://static.metacritic.com/images/products/music/6/94c18da989e1eb0d6be1bf11b4da3ca0-98.jpg
Marlon Williams,Marlon Williams,"February 19, 2016",The solo full-length debut for the New Zealand singer-songwriter was co-produced with Ben Edwards.,77,7.7,https://static.metacritic.com/images/products/music/1/cfe2e9b956e1caa25e3851fe8a9a8b97-98.jpg
Serpentine Prison,Matt Berninger,"October 16, 2020",The debut full-length solo release for The National's frontman was recorded over 14 days with producer Booker T. Jones.,77,8.3,https://static.metacritic.com/images/products/music/7/c95942f6a8dcdcaa4e675c6760800522-98.jpg
Tomboy,Panda Bear,"April 12, 2011","Noah Lennox, Animal Collective's founding member, releases his fourth solo album.",77,8.0,https://static.metacritic.com/images/products/music/7/5711988103c49dc06d6d4d31c72a7995-98.jpg
I'll Follow You,Oakley Hall,"September 11, 2007",The fourth album but the first with Merge Records for the Brooklyn-based band.,77,7.5,https://static.metacritic.com/images/products/music/5/1caa4c3950ce1c7ae8c669e9e83ff4c8-98.jpg
Say Yes to Love,Perfect Pussy,"March 18, 2014","The noise punk band led by Meredith Graves releases a full-length follow-up to its 2013's four-track EP, I Have Lost All Desire For Feeling.",77,7.1,https://static.metacritic.com/images/products/music/9/2626e21413caacf8288187449bdce41e-98.jpg
Sun and Shade,Woods,"June 14, 2011",Singer-guitarist Jeremy Earl and his band release their sixth full-length of sunny West Coast pop and folk rock.,77,7.6,https://static.metacritic.com/images/products/music/0/b3e6d4eaf82ed2fd12c7754ad6906bbd-98.jpg
The Volunteers,Onelinedrawing,"March 23, 2004","Onelinedrawing is the alter ego for Sacramento, Calif.-based singer/guitarist Jonah Matranga, formerly of the emo band Far.",77,8.2,https://static.metacritic.com/images/products/music/2/0386ee18612523d9b89d61e78fea77d6-98.jpg
Margerine Eclipse,Stereolab,"January 27, 2004","'Margerine Eclipse' marks the London-based band's first LP since the death of long-time member Mary Hansen, as well as the once-prolific group's longest-ever gap between albums (2 1/2 years).",77,8.5,https://static.metacritic.com/images/products/music/9/55c81acf9716b9e2a1c2faef8d4780be-98.jpg
Punk Rock,Mekons,"January 20, 2004","'Punk Rock' is just that, combining new recordings of some of the band's edgier late-70s output with live performances culled from their 25th anniversary tour in 2002.",77,8.0,https://static.metacritic.com/images/products/music/3/d1cd1c7da13628d1ce8e495ecf298b6e-98.jpg
In Reverie,Saves the Day,"September 16, 2003","Less punk, more pop is the motto for the fourth album by the New Jersey emo band led by singer-songwriter Chris Conley.",77,8.2,https://static.metacritic.com/images/products/music/1/ab4dcbf253c1e3315e52ae9729990188-98.jpg
AOI: Bionix,De La Soul,"December 4, 2001","The second installment in the ""Art Official Intelligence"" series (following 2000's 'Mosaic Thump') features the hit single ""Baby Phat"" and guest appearances from Slick Rick and Cypress Hill's B Real.",77,8.6,https://static.metacritic.com/images/products/music/7/de61087f761bfc25dbb9d2357acf0f60-98.jpg
Excuses for Travelers,Mojave 3,"September 5, 2000",,77,8.2,https://static.metacritic.com/images/products/music/8/481c470a989fad530b9f025622184cc4-98.jpg
Last Place,Grandaddy,"March 3, 2017",The first release in over a decade for the California indie rock band was produced by frontman Jason Lytle.,76,8.2,https://static.metacritic.com/images/products/music/4/3ff76959410d41a28722440040261693-98.jpg
Why Love Now,Pissed Jeans,"February 24, 2017",The fifth full-length release for the noise rock band was produced by Arthur Rizk and Lydia Lunch.,76,7.4,https://static.metacritic.com/images/products/music/8/4255801d0de10650be6ce5044b999bdc-98.jpg
Asleep on the Floodplain,Six Organs of Admittance,"February 22, 2011","Ben Chasny's psych-folk project releases its seventh album in five years, producing a more playful, atmospheric sound with Ben's trademark twangy, country-folk feel.",76,7.9,https://static.metacritic.com/images/products/music/7/c39fad4b64ef3588ca65a7c9c05c2edc-98.jpg
Postcards From a Young Man,Manic Street Preachers,"September 21, 2010",The Welsh rock band goes with a poppier sound on its Dave Eringa-produced 10th studio album.,76,7.9,https://static.metacritic.com/images/products/music/98w-release.jpg
Angels Of Destruction,Marah,"January 8, 2008",The Philadelphia/Brooklyn-based band returns with its latest studio album following a Christmas album in 2005.,76,6.3,https://static.metacritic.com/images/products/music/5/fa39983c275b7ca02cd6a1b334d33303-98.jpg
Freakout/Release,Hot Chip,"August 19, 2022",The eighth full-length studio release for British electro-pop band Hot Chip was written and recorded at its East London studio.,76,8.6,https://static.metacritic.com/images/products/music/6/b8962786116e9d965e9533adf1ee19e4-98.jpg
Weirdon,Purling Hiss,"September 23, 2014",The seventh full-length release from the Philadelphia psych-punk trio includes influences from pop and indie rock music.,76,7.7,https://static.metacritic.com/images/products/music/6/17e4285b1f35325055fdb0cc69dcf153-98.jpg
Shelter,Moire,"August 26, 2014",The is the debut full-length release from the London-based house/techno producer.,76,7.4,https://static.metacritic.com/images/products/music/4/9228581a23861780d845916ce4b37871-98.jpg
Ashore,June Tabor,"February 21, 2011",The British folk singer's latest album is a concept album about the relationships we have with the sea.,76,7.5,https://static.metacritic.com/images/products/music/6/9221c5f82af82d495830106248500ae1-98.jpg
